Paper Title,title,authors,school/organization_names,author_countries,conference,published_year,forensic_vs_anti
"Grand theft API: A forensic analysis of vehicle cloud data Simon Ebbersa,*, Stefan Gensea, Mouad Bakkoucha, Felix Freilingb, Sebastian Schinzela","```json
{
    ""title"": ""Grand theft API: A forensic analysis of vehicle cloud data""
}
```","```json
{
    ""authors"": ""Simon Ebbers, Stefan Gense, Mouad Bakkouch, Felix C. Freiling, Sebastian Schinzel""
}
```","```json
{
    ""school_names"": [
        ""M�nster University of Applied Sciences"",
        ""Friedrich-Alexander-University Erlangen-Nuremberg""
    ]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Amine Boukhtoutaa,*, Djedjiga Mouheba, Mourad Debbabia, Omar Alfandib,c, Farkhund Iqbalb, May El Barachib","```json
{
    ""title"": ""Graph-theoretic characterization of cyber-threat infrastructures""
}
```","```json
{
    ""authors"": ""Amine Boukhtouta, Djedjiga Mouheb, Mourad Debbabi, Omar Alfandi, Farkhund Iqbal, May El Barachi""
}
```","```json
{
    ""school_names"": [
        ""Concordia University"",
        ""Zayed University"",
        ""University of Göttingen""
    ]
}
```","```json
{
    ""author_countries"": [""Canada"", ""United Arab Emirates"", ""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2015""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
GreenForensics: Deep hybrid edge-cloud detection and forensics system for battery-performance-balance conscious devices,"```json
{
    ""title"": ""GreenForensics: Deep hybrid edge-cloud detection and forensics system for battery-performance-balance conscious devices""
}
```","```json
{
    ""authors"": ""Mohit Sewaka, Sanjay K. Sahayb, Hemant Rathoreb""
}
```","```json
{
    ""school_names"": [
        ""Microsoft R & D, India Pvt. Ltd."",
        ""BITS Pilani""
    ]
}
```","```json
{
    ""author_countries"": [""India""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
memory forensics to investigate and detect illegal 3D printing activitiesHala,"```json
{
    ""title"": ""Leveraging memory forensics to investigate and detect illegal 3D printing activities""
}
```","```json
{
    ""authors"": ""Hala Ali, Andrew Case, Irfan Ahmed""
}
```","```json
{
    ""school_names"": [
        ""Virginia Commonwealth University"",
        ""Volatility Foundation""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2025""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Analysis of the Python Runtime EnvironmentHala Alia,*, Andrew Caseb, Irfan Ahmedaa","```json
{
    ""title"": ""Analysis of the Python Runtime Environment""
}
```","```json
{
    ""authors"": ""Hala Ali, Andrew Case, Irfan Ahmed""
}
```","```json
{
    ""school_names"": [
        ""Virginia Commonwealth University"",
        ""Volatility Foundation""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2025""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Hamming distributions of popular perceptual hashing techniques Sean McKeown*, William J. Buchanan","```json
{
    ""title"": ""Hamming distributions of popular perceptual hashing techniques""
}
```","```json
{
    ""authors"": ""Sean McKeown, William J. Buchanan""
}
```","```json
{
    ""school_names"": [
        ""School of Computing, Engineering, and the Built Environment, Edinburgh Napier University""
    ]
}
```","```json
{
    ""author_countries"": [""UK""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Digital Forensic""
}
```"
"Harder, better, faster, stronger: Optimising the performance of context-based password cracking dictionaries","```json
{
    ""title"": ""Harder, better, faster, stronger: Optimising the performance of context-based password cracking dictionaries""
}
```","```json
{
    ""authors"": ""Aikaterini Kanta, Iwen Coisel, Mark Scanlon""
}
```","```json
{
    ""school_names"": [
        ""University College Dublin"",
        ""Europol""
    ]
}
```","```json
{
    ""author_countries"": [""Ireland"", ""Netherlands""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Hash-based carving: Searching media for complete ﬁles and ﬁle fragments with sector hashing and hashdb,"```json
{
    ""title"": ""Hash-based carving: Searching media for complete ﬁles and ﬁle fragments with sector hashing and hashdb""
}
```","```json
{
    ""authors"": ""Simson L. Garfinkel, Michael McCarrin""
}
```","```json
{
    ""school_names"": [
        ""National Institute of Standards and Technology"",
        ""Naval Postgraduate School""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2015""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Hash based disk imaging using AFF4 Michael Cohen *, Bradley Schatz","```json
{
    ""title"": ""Hash based disk imaging using AFF4""
}
```","```json
{
    ""authors"": ""Michael Cohen, Bradley Schatz""
}
```","```json
{
    ""school_names"": [""Australian Federal Police""]
}
```","```json
{
    ""author_countries"": [""Australia""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2010""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Hiding Process Memory Via Anti-Forensic Techniques Ralph Palutkea,**,1, Frank Blocka,b,*,1, Patrick Reichenbergera, Dominik Stripeikaa","```json
{
    ""title"": ""Hiding Process Memory Via Anti-Forensic Techniques""
}
```","```json
{
    ""authors"": ""Ralph Palutke, Frank Block, Patrick Reichenberger, Dominik Stripeika""
}
```","```json
{
    ""school_names"": [
        ""Friedrich-Alexander-University Erlangen-Nuremberg"",
        ""ERNW Research GmbH""
    ]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""forensic_type"": ""Anti-Forensic""
}
```"
High-speed search using Tarari content processor in digital forensics,"```json
{
    ""title"": ""High-speed search using Tarari content processor in digital forensics""
}
```","```json
{
    ""authors"": ""Jooyoung Lee, Sungkyong Un, Dowon Hong""
}
```","```json
{
    ""school_names"": [
        ""Electronics and Telecommunications Research Institute""
    ]
}
```","```json
{
    ""author_countries"": [""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2008""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Hit and run: Forensic vehicle event reconstruction through driver-based cloud data from Progressive ’s snapshot application,"```json
{
    ""title"": ""Hit and run: Forensic vehicle event reconstruction through driver-based cloud data from Progressive ’s snapshot application""
}
```","```json
{
    ""authors"": ""Abdur Rahman Onik, Trevor T. Spinosaa, Abdulla M. Asada, Ibrahim Baggili""
}
```","```json
{
    ""school_names"": [
        ""Louisiana State University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"HookTracer: A System for Automated and Accessible API Hooks Analysis Andrew Casea, Mohammad M. Jalalzaib,c, Md Firoz-Ul-Aminc, Ryan D. Maggiob,c,","```json
{
    ""title"": ""HookTracer: A System for Automated and Accessible API Hooks Analysis""
}
```","```json
{
    ""authors"": ""Andrew Case, Mohammad M. Jalalzai, Md Firoz-Ul-Amin, Ryan D. Maggio, Aisha Ali-Gombe, Mingxuan Sun, Golden G. Richard III""
}
```","```json
{
    ""school_names"": [
        ""Volatility Foundation"",
        ""Louisiana State University"",
        ""Towson University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
How viable is password cracking in digital forensic investigation? Analyzing the guessability of over 3.9 billion real-world accounts,"```json
{
    ""title"": ""How viable is password cracking in digital forensic investigation? Analyzing the guessability of over 3.9 billion real-world accounts""
}
```","```json
{
    ""authors"": ""Aikaterini Kanta, Sein Coray, Iwen Coisel, Mark Scanlon""
}
```","```json
{
    ""school_names"": [
        ""University College Dublin"",
        ""European Commission, Joint Research Centre (DG JRC), Italy"",
        ""University of Basel, Switzerland""
    ]
}
```","```json
{
    ""author_countries"": [""Ireland"", ""Italy"", ""Switzerland""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Hviz: HTTP(S) traf ﬁc aggregation and visualization for network forensics,"```json
{
    ""title"": ""Hviz: HTTP(S) traf ﬁc aggregation and visualization for network forensics""
}
```","```json
{
    ""authors"": ""David Gugelmanna, Fabian Gassera, Bernhard Agera, Vincent Lendersb""
}
```","```json
{
    ""school_names"": [
        ""ETH Zurich"",
        ""Armasuisse""
    ]
}
```","```json
{
    ""author_countries"": [""Switzerland""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2015""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Hypervisor-based data synthesis: On its potential to tackle the curse of client-side agent remnants in forensic image generation,"```json
{
    ""title"": ""Hypervisor-based data synthesis: On its potential to tackle the curse of client-side agent remnants in forensic image generation""
}
```","```json
{
    ""authors"": ""Dennis Wolf, Thomas Gobel, Harald Baier""
}
```","```json
{
    ""school_names"": [
        ""Central Office for Information Technology in the Security Sector (ZITiS)"",
        ""University of the Bundeswehr Munich""
    ]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Identiﬁcation and recovery of JPEG ﬁles with missing fragments,"```json
{
    ""title"": ""Identification and recovery of JPEG files with missing fragments""
}
```","```json
{
    ""authors"": ""Husrev T. Sencar, Nasir Memon""
}
```","```json
{
    ""school_names"": [""TOBB University of Economics and Technology""]
}
```","```json
{
    ""author_countries"": [""Turkey""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2009""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"ReFS $Logfile Eun Ji Leea, Seo Yeon Leea, Hyeon Kwonb, Sung Jin Leea, Gi Bum Kima,*","```json
{
    ""title"": ""Identification of data wiping tools based on deletion patterns in ReFS $Logfile""
}
```","```json
{
    ""authors"": ""Eun Ji Lee, Seo Yeon Lee, Hyeon Kwon, Sung Jin Lee, Gi Bum Kim""
}
```","```json
{
    ""school_names"": [
        ""Sungkyunkwan University"",
        ""Deloitte Anjin LLC""
    ]
}
```","```json
{
    ""author_countries"": [""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Identifying almost identical ﬁles using context triggered piecewise hashing,"```json
{
    ""title"": ""Identifying almost identical ﬁles using context triggered piecewise hashing""
}
```","```json
{
    ""authors"": ""Jesse Kornblum""
}
```","```json
{
    ""school_names"": [""ManTech SMA"", ""Massachusetts Institute of Technology""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2006""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Identifying interception possibilities for WhatsApp communication Dennis Wijnberga, Nhien-An Le-Khacb,*","```json
{
    ""title"": ""Identifying interception possibilities for WhatsApp communication""
}
```","```json
{
    ""authors"": ""Dennis Wijnberg, Nhien-An Le-Khac""
}
```","```json
{
    ""school_names"": [
        ""National Police of the Netherlands"",
        ""School of Computer Science, University College Dublin""
    ]
}
```","```json
{
    ""author_countries"": [""Netherlands"", ""Ireland""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
IF-DSS : A forensic investigation framework for decentralized storage services,"```json
{
    ""title"": ""IF-DSS : A forensic investigation framework for decentralized storage services""
}
```","```json
{
    ""authors"": ""Jihun Son, Gyubin Kim, Hyunwoo Jung, Jewan Bang, Jungheum Park""
}
```","```json
{
    ""school_names"": [
        ""Korea University"",
        ""AlpineLab"",
        ""AhnLab"",
        ""Cyber Investigation Bureau, National Office of Investigation, Korean National Police Agency""
    ]
}
```","```json
{
    ""author_countries"": [""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Iferror rate is such a simple concept, why don’t I have one for my forensic tool yet?5","```json
{
    ""title"": ""Iferror rate is such a simple concept, why don’t I have one for my forensic tool yet?5""
}
```","```json
{
    ""authors"": ""James R. Lyle""
}
```","```json
{
    ""school_names"": [
        ""National Institute of Standards and Technology (NIST)"",
        ""East Tennessee State University"",
        ""University of Maryland at College Park"",
        ""University of Maryland Baltimore County""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2010""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Image-based kernel ﬁngerprinting Vassil Roussev*, Irfan Ahmed, Thomas Sires","```json
{
    ""title"": ""Image-based kernel ﬁngerprinting""
}
```","```json
{
    ""authors"": ""Vassil Roussev, Irfan Ahmed, Thomas Sires""
}
```","```json
{
    ""school_names"": [
        ""University of New Orleans""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2014""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Improved recovery and reconstruction of DEFLATEd ﬁles Ralf D. Brown,"```json
{
    ""title"": ""Improved recovery and reconstruction of DEFLATEd ﬁles""
}
```","```json
{
    ""authors"": ""Ralf D. Brown""
}
```","```json
{
    ""school_names"": [""Carnegie Mellon University""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2013""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Improving ﬁle-level fuzzy hashes for malware variant classi ﬁcation Ian Shiel, Stephen O'Shaughnessy*","```json
{
    ""title"": ""Improving ﬁle-level fuzzy hashes for malware variant classi ﬁcation""
}
```","```json
{
    ""authors"": ""Ian Shiel, Stephen O'Shaughnessy""
}
```","```json
{
    ""school_names"": [""TU Dublin, Blanchardstown, Dublin, Ireland""]
}
```","```json
{
    ""author_countries"": [""Ireland""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Improving the reliability of chip-off forensic analysis of NAND ﬂash memory devices,"```json
{
    ""title"": ""Improving the reliability of chip-off forensic analysis of NAND ﬂash memory devices""
}
```","```json
{
    ""authors"": ""Aya Fukami, Saugata Ghose, Yixin Luo, Yu Cai, Onur Mutlu""
}
```","```json
{
    ""school_names"": [
        ""National Police Agency, Japan"",
        ""Carnegie Mellon University"",
        ""ETH Zürich, Switzerland""
    ]
}
```","```json
{
    ""author_countries"": [""Japan"", ""USA"", ""Switzerland""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Improving trace synthesis by utilizing computer vision for user action emulation,"```json
{
    ""title"": ""Improving trace synthesis by utilizing computer vision for user action emulation""
}
```","```json
{
    ""authors"": ""Lukas Schmidt, Sebastian Kortmann, Thomas Hupperich""
}
```","```json
{
    ""school_names"": [
        ""University of Münster, Germany"",
        ""University of Amsterdam, the Netherlands""
    ]
}
```","```json
{
    ""author_countries"": [""Germany"", ""Netherlands""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
In lieu of swap: Analyzing compressed RAM in Mac OS X and Linux,"```json
{
    ""title"": ""In lieu of swap: Analyzing compressed RAM in Mac OS X and Linux""
}
```","```json
{
    ""authors"": ""Golden G. Richard III, Andrew Case""
}
```","```json
{
    ""school_names"": [
        ""University of New Orleans"",
        ""Volatility Foundation""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2014""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"In the time loop: Data remanence in main memory of virtual machines Ella Savchenko*, Jenny Ottmann, Felix Freiling","```json
{
    ""title"": ""In the time loop: Data remanence in main memory of virtual machines""
}
```","```json
{
    ""authors"": ""Ella Savchenko, Jenny Ottmann, Felix C. Freiling""
}
```","```json
{
    ""school_names"": [""Friedrich-Alexander-University Erlangen-Nuremberg""]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Inception: Virtual Space in Memory Space in Real Space eMemory Forensics of Immersive Virtual Reality with the HTC Vive,"```json
{
    ""title"": ""Inception: Virtual Space in Memory Space in Real Space eMemory Forensics of Immersive Virtual Reality with the HTC Vive""
}
```","```json
{
    ""authors"": ""Peter Casey, Rebecca Lindsay-Decusati, Ibrahim Baggili, Frank Breitinger""
}
```","```json
{
    ""school_names"": [""University of New Haven""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Information assurance in a distributed forensic cluster Nick Pringle*, Mikhaila Burgess","```json
{
    ""title"": ""Information assurance in a distributed forensic cluster""
}
```","```json
{
    ""authors"": ""Nick Pringle, Mikhaila Burgess""
}
```","```json
{
    ""school_names"": [""University of South Wales""]
}
```","```json
{
    ""author_countries"": [""UK""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2014""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Insider threat prediction based on unsupervised anomaly detection scheme for proactive forensic investigation,"```json
{
    ""title"": ""Insider threat prediction based on unsupervised anomaly detection scheme for proactive forensic investigation""
}
```","```json
{
    ""authors"": ""Yichen Wei, Kam-Pui Chow, Siu-Ming Yiu""
}
```","```json
{
    ""school_names"": [""The University of Hong Kong""]
}
```","```json
{
    ""author_countries"": [""Hong Kong"", ""China""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Insights gained from constructing a large scale dynamic analysis platform,"```json
{
    ""title"": ""Insights gained from constructing a large scale dynamic analysis platform""
}
```","```json
{
    ""authors"": ""Cody Miller, Dae Glendowne, Henry Cook, DeMarcus Thomas, Chris Lanclos, Patrick Pape""
}
```","```json
{
    ""school_names"": [
        ""Babel Street"",
        ""Distributed Analytics and Security Institute"",
        ""Green Mountain Technology""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Integrity veri ﬁcation of user space code Andrew White*, Bradley Schatz, Ernest Foo","```json
{
    ""title"": ""Integrity verification of user space code""
}
```","```json
{
    ""authors"": ""Andrew White, Bradley Schatz, Ernest Foo""
}
```","```json
{
    ""school_names"": [""Queensland University of Technology""]
}
```","```json
{
    ""author_countries"": [""Australia""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2013""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Interpreting the location data extracted from the Apple Health database,"```json
{
    ""title"": ""Interpreting the location data extracted from the Apple Health database""
}
```","```json
{
    ""authors"": ""Luke Jennings, Matthew Sorella, Hugo G. Espinosa""
}
```","```json
{
    ""school_names"": [
        ""The University of Adelaide"",
        ""Griffith University""
    ]
}
```","```json
{
    ""author_countries"": [""Australia""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
IntroLib: Efﬁ cient and transparent library call introspection for malware forensics,"```json
{
    ""title"": ""IntroLib: Efﬁ cient and transparent library call introspection for malware forensics""
}
```","```json
{
    ""authors"": ""Zhui Deng, Dongyan Xu, Xiangyu Zhang, Xuxiang Jiang""
}
```","```json
{
    ""school_names"": [
        ""Purdue University"",
        ""North Carolina State University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2012""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"InVEST: Intelligent visual email search and triage Jay Koven*, Enrico Bertini, Luke Dubois, Nasir Memon","```json
{
    ""title"": ""InVEST: Intelligent visual email search and triage""
}
```","```json
{
    ""authors"": ""Jay Koven, Enrico Bertini, Luke Dubois, Nasir Memon""
}
```","```json
{
    ""school_names"": [""NYU Tandon School of Engineering""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Investigating evidence of mobile phone usage by drivers in road traf ﬁc accidents,"```json
{
    ""title"": ""Investigating evidence of mobile phone usage by drivers in road traf ﬁc accidents""
}
```","```json
{
    ""authors"": ""Graeme Horsman, Lynne R. Conniss""
}
```","```json
{
    ""school_names"": [""Northumbria University""]
}
```","```json
{
    ""author_countries"": [""UK""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2015""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
IoT Botnet Forensics: A Comprehensive Digital Forensic Case Study on Mirai Botnet Servers,"```json
{
    ""title"": ""IoT Botnet Forensics: A Comprehensive Digital Forensic Case Study on Mirai Botnet Servers""
}
```","```json
{
    ""authors"": ""Xiaolu Zhang, Oren Upton, Nicole Lang Beebe*, Kim-Kwang Raymond Choo""
}
```","```json
{
    ""school_names"": [
        ""University of Texas at San Antonio""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"IoT forensic challenges and opportunities for digital traces Francesco Servida*, Eoghan Casey","```json
{
    ""title"": ""IoT forensic challenges and opportunities for digital traces""
}
```","```json
{
    ""authors"": ""Francesco Servida, Eoghan Casey""
}
```","```json
{
    ""school_names"": [""University of Lausanne""]
}
```","```json
{
    ""author_countries"": [""Switzerland""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"IoT forensics: Analysis of a HIKVISION's mobile app Evangelos Dragonasa,*, Costas Lambrinoudakisa, Michael Kotsisb","```json
{
    ""title"": ""IoT forensics: Analysis of a HIKVISION's mobile app""
}
```","```json
{
    ""authors"": ""Evangelos Dragonas, Costas Lambrinoudakis, Michael Kotsis""
}
```","```json
{
    ""school_names"": [
        ""University of Piraeus"",
        ""University of West Attica""
    ]
}
```","```json
{
    ""author_countries"": [""Greece""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
IoT network traf ﬁc analysis: Opportunities and challenges for forensic investigators?,"```json
{
    ""title"": ""IoT network traf ﬁc analysis: Opportunities and challenges for forensic investigators?""
}
```","```json
{
    ""authors"": ""Tina Wu, Frank Breitinger, Stephen Niemann""
}
```","```json
{
    ""school_names"": [
        ""University of Oxford"",
        ""University of Liechtenstein""
    ]
}
```","```json
{
    ""author_countries"": [""UK"", ""Liechtenstein""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
IP Addresses in the Context of Digital Evidence in the Criminal and Civil Case Law of the Slovak Republic,"```json
{
    ""title"": ""IP Addresses in the Context of Digital Evidence in the Criminal and Civil Case Law of the Slovak Republic""
}
```","```json
{
    ""authors"": ""Pavol Sokola, Laura Rózenfeldová, Katarína Lučivjanská, Jakub Haraštak""
}
```","```json
{
    ""school_names"": [
        ""Pavol Jozef Safarik University in Košice, Faculty of Science"",
        ""Pavol Jozef Safarik University in Košice, Faculty of Law"",
        ""Masaryk University, Faculty of Law""
    ]
}
```","```json
{
    ""author_countries"": [""Slovakia"", ""Czech Republic""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"database storage for data exfiltrationJames Wagnera,*, Alexander Rasinb, Vassil Roussevaa","```json
{
    ""title"": ""Exploiting database storage for data exfiltration""
}
```","```json
{
    ""authors"": ""James Wagner, Alexander Rasin, Vassil Roussev""
}
```","```json
{
    ""school_names"": [
        ""University of New Orleans"",
        ""DePaul University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2025""
}
```","```json
{
    ""forensic_type"": ""Anti-Forensic""
}
```"
"forensic AI-assistant, SERENA: Systematic extraction and reconstruction for enhanced A2P message forensicsJieon","```json
{
    ""title"": ""Your forensic AI-assistant, SERENA: Systematic extraction and reconstruction for enhanced A2P message forensics""
}
```","```json
{
    ""authors"": ""Jieon Kim, Byeongchan Jeong, Seungeun Park, Sangjin Lee, Jungheum Park""
}
```","```json
{
    ""school_names"": [
        ""Korea University""
    ]
}
```","```json
{
    ""author_countries"": [""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2025""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"at first you don’t succeed, trie, trie again: Correcting TLSH scalability claims for large-dataset malware forensicsJordi","```json
{
    ""title"": ""At first you don’t succeed, trie, trie again: Correcting TLSH scalability claims for large-dataset malware forensics""
}
```","```json
{
    ""authors"": ""Jordi Gonzalez""
}
```","```json
{
    ""school_names"": [""MITRE Corporation""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2025""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
JTAG-based PLC memory acquisition framework for industrial control systems,"```json
{
    ""title"": ""JTAG-based PLC memory acquisition framework for industrial control systems""
}
```","```json
{
    ""authors"": ""Muhammad Haris Rais, Rima Asmar Awad, Juan Lopez Jr., Irfan Ahmed""
}
```","```json
{
    ""school_names"": [
        ""Virginia Commonwealth University"",
        ""Oak Ridge National Laboratory""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
